"entity_id","type","value"
"219","nes_a_boolean","FALSE"
"220","nes_boolean","FALSE"
"220","nes_a_boolean","FALSE"
"221","nes_boolean","FALSE"
"221","nes_a_boolean","FALSE"
"222","nes_boolean","FALSE"
"222","nes_a_boolean","TRUE"
"223","nes_boolean","TRUE"
"223","nes_a_boolean","FALSE"
"224","nes_boolean","FALSE"
"224","nes_a_boolean","FALSE"
"225","nes_boolean","FALSE"
"225","nes_a_boolean","FALSE"
"227","nes_boolean","FALSE"
"227","nes_a_boolean","FALSE"
"228","nes_boolean","FALSE"
"228","nes_a_boolean","FALSE"
"229","nes_boolean","FALSE"
"229","nes_a_boolean","FALSE"
"231","nes_boolean","FALSE"
"231","nes_a_boolean","FALSE"
"232","nes_boolean","FALSE"
"232","nes_a_boolean","FALSE"
"233","nes_boolean","FALSE"
"233","nes_a_boolean","TRUE"
"234","nes_boolean","FALSE"
"234","nes_a_boolean","FALSE"
"237","nes_boolean","FALSE"
"237","nes_a_boolean","FALSE"
"239","nes_boolean","FALSE"
"239","nes_a_boolean","FALSE"
"240","nes_boolean","FALSE"
"240","nes_a_boolean","FALSE"
"241","nes_boolean","FALSE"
"241","nes_a_boolean","FALSE"
"242","nes_boolean","FALSE"
"242","nes_a_boolean","TRUE"
"243","nes_boolean","FALSE"
"243","nes_a_boolean","TRUE"
"244","nes_boolean","FALSE"
"244","nes_a_boolean","FALSE"
"245","nes_boolean","FALSE"
"245","nes_a_boolean","FALSE"
"247","nes_boolean","FALSE"
"247","nes_a_boolean","TRUE"
"248","nes_boolean","FALSE"
"248","nes_a_boolean","FALSE"
"249","nes_boolean","FALSE"
"249","nes_a_boolean","FALSE"
"251","nes_boolean","FALSE"
"251","nes_a_boolean","FALSE"
"252","nes_boolean","FALSE"
"252","nes_a_boolean","TRUE"
"253","nes_boolean","FALSE"
"253","nes_a_boolean","FALSE"
"254","nes_boolean","FALSE"
"254","nes_a_boolean","FALSE"
"255","nes_boolean","FALSE"
"255","nes_a_boolean","FALSE"
"256","nes_boolean","FALSE"
"256","nes_a_boolean","FALSE"
"257","nes_boolean","FALSE"
"257","nes_a_boolean","TRUE"
"258","nes_boolean","FALSE"
"258","nes_a_boolean","TRUE"
"259","nes_boolean","FALSE"
"259","nes_a_boolean","FALSE"
"260","nes_boolean","FALSE"
"260","nes_a_boolean","FALSE"
"262","nes_boolean","FALSE"
"262","nes_a_boolean","FALSE"
"263","nes_boolean","FALSE"
"263","nes_a_boolean","FALSE"
"264","nes_boolean","FALSE"
"264","nes_a_boolean","FALSE"
